Comune;Provincia;Categoria;Denominazione struttura;Indirizzo;Frazione;CAP;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Denominazione ente annuario;Tipologia alberghiera;Tipologia servizio;Codice esercizio ricettivo;Partita IVA;Codice localita;Altitudine;Numero unita;Numero posti letto;Prezzo massimo letto aggiunto;Tipologia unita;Posti letto;Prezzo;Prezzo massimo consumazione pasto;Codice;Servizi;Denominazione dipendenza;Comune dipendenza;Frazione dipendenza;Indirizzo dipendenza;Categoria dipendenza;Prezzo massimo letto aggiunto dipendenza;Prezzo massimo consumazione pasto dipendenza;Tipologia unita dipendenza;Posti letto dipendenza;Prezzo dipendenza
ALA;TRENTO;1-stella;CENTRALE;FRAZIONE RONCHI;RONCHI DI ALA;38061;0464-671033;;;;A.P.T. DI ROVERETO E VALLAGARINA;albergo;pensione-completa;1500654;920220225;50000134;700;11;23;15.00;camera-senza-bagno;1;30.00;20.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ALA;TRENTO;1-stella;MONTI LESSINI;LOCALITA'SEGA, 7;SEGA;38061;0464-671253;0464-670108;info@albergomontilessini.it;www.albergomontilessini.com;A.P.T. DI ROVERETO E VALLAGARINA;albergo;pensione-completa;1155721;1767250226;50000142;1246;7;11;10.00;camera-senza-bagno;;;20.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ALA;TRENTO;2-stelle;ALBERGO ALPINO;LOC. SEGA;MONTI LESSINI;38061;0464-670143;0464-671291;info@albergoalpinosega.it;www.albergoalpinosega.it;A.P.T. DI ROVERETO E VALLAGARINA;albergo;pensione-completa;194536064;4209310236;50000141;180;20;35;20.00;camera-con-bagno;1;40.00;15.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ALA;TRENTO;2-stelle;LA PINETA;CORSO VERONA, 26;;38061;0464-671460;0464-674808;lapineta.ala@live.it;www.lapineta-ala.i;A.P.T. DI ROVERETO E VALLAGARINA;albergo;pensione-completa;1336151;435430228;320;180;11;20;28.00;camera-con-bagno;1;38.00;20.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);;;;;;;;;;
ALA;TRENTO;3-stelle;HOTEL VIENNESE;CORSO PASSO BUOLE, 4;;38061;0464-672530;0464-672312;info@hotelviennese.com;www.hotelviennese.com;A.P.T. DI ROVERETO E VALLAGARINA;albergo;pensione-completa;1330739;1488420223;320;180;35;57;25.00;camera-con-bagno;1;50.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;2-stelle;MERIDIANA;VIALE TRENTO, 2;;38010;0461-585780;0461-585687;info@residencemeridiana.it;www.residencemeridiana.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1255091;631290228;324;1042;18;51;20.00;appartamento;2;180.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;2-stelle;PAVONE;VIA FOVO, 9;;38010;0461-585696;0461-589291;pavone@melchiori.net;www.melchiori.net;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1510174;1025010222;324;1042;24;50;50.00;camera-con-bagno;2;110.00;32.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
ANDALO;TRENTO;3-stelle;2000;VIA LAGHET, 4;;38010;0461-585711;0461-589221;residence.2000@tin.it;www.residence2000.org;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;rta;solo-pernottamento;1158097;202940227;324;1042;11;27;20.00;appartamento;2;160.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ABETE BIANCO HOTEL;VIA PAGANELLA, 21/A;ANDALO;38010;0461-589127;0461-585003;info@hotelabetebianco.it;www.hotelabetebianco.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;24975472;1895740221;8473;1042;36;86;93.00;bicamera-con-bagno;;;50.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
ANDALO;TRENTO;3-stelle;ACTIVE & FAMILY CLUB HOTEL NEGRITELLA;VIA PAGANELLA, 32;;38010;0461-585802;0461-585911;info@negritella.it;www.negritella.it;A.P.T. DOLOMITI DI BRENTA, ALTOPIANO DELLA PAGANELLA;albergo;pensione-completa;1207355;1386310229;324;1042;77;132;52.00;jr-suite;;;28.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
