Municipality                      ;Province ;Category         ;Facility Name                                                                ;Address                                               ;District                          ;Postal Code ;Phone                     ;Fax                       ;Email Address                                                      ;Website                                                                                                         ;Hotel Type              ;Service Type          ;VAT Number   ;Altitude ;Number of Units ;Number of Beds ;Max Extra Bed Price ;Unit Type              ;Beds ;Price   ;Max Meal Price ;Services
ALA                               ;TRENTO   ;1-star           ;CENTRALE                                                                     ;FRAZIONE RONCHI                                       ;RONCHI DI ALA                     ;      38061 ;0464-671033               ;                          ;                                                                   ;                                                                                                                ;hotel                   ;full-board            ;920220225    ;     700 ;             11 ;            23 ;              15.0  ;room-without-bathroom  ; 1.0 ;  30.0  ;         20.0  ;Terrace or solarium garden
ALA                               ;TRENTO   ;1-star           ;MONTI LESSINI                                                                ;LOCALITA'SEGA, 7                                      ;SEGA                              ;      38061 ;0464-671253               ;0464-670108               ;info@albergomontilessini.it                                        ;www.albergomontilessini.com                                                                                     ;hotel                   ;full-board            ;1767250226   ;    1246 ;              7 ;            11 ;              10.0  ;room-without-bathroom  ;     ;        ;         20.0  ;Terrace or solarium garden
ALA                               ;TRENTO   ;2-stars          ;ALBERGO ALPINO                                                               ;LOC. SEGA                                             ;MONTI LESSINI                     ;      38061 ;0464-670143               ;0464-671291               ;info@albergoalpinosega.it                                          ;www.albergoalpinosega.it                                                                                        ;hotel                   ;full-board            ;4209310236   ;     180 ;             20 ;            35 ;              20.0  ;room-with-bathroom     ; 1.0 ;  40.0  ;         15.0  ;Terrace or solarium garden
ALA                               ;TRENTO   ;2-stars          ;LA PINETA                                                                    ;CORSO VERONA, 26                                      ;                                  ;      38061 ;0464-671460               ;0464-674808               ;lapineta.ala@live.it                                               ;www.lapineta-ala.i                                                                                              ;hotel                   ;full-board            ;435430228    ;     180 ;             11 ;            20 ;              28.0  ;room-with-bathroom     ; 1.0 ;  38.0  ;         20.0  ;Parking (insured for at least 50% of the housing units)
ALA                               ;TRENTO   ;3-stars          ;HOTEL VIENNESE                                                               ;CORSO PASSO BUOLE, 4                                  ;                                  ;      38061 ;0464-672530               ;0464-672312               ;info@hotelviennese.com                                             ;www.hotelviennese.com                                                                                           ;hotel                   ;full-board            ;1488420223   ;     180 ;             35 ;            57 ;              25.0  ;room-with-bathroom     ; 1.0 ;  50.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;2-stars          ;MERIDIANA                                                                    ;VIALE TRENTO, 2                                       ;                                  ;      38010 ;0461-585780               ;0461-585687               ;info@residencemeridiana.it                                         ;www.residencemeridiana.it                                                                                       ;tourist hotel residence ;room-only             ;631290228    ;    1042 ;             18 ;            51 ;              20.0  ;apartment              ; 2.0 ; 180.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;2-stars          ;PAVONE                                                                       ;VIA FOVO, 9                                           ;                                  ;      38010 ;0461-585696               ;0461-589291               ;pavone@melchiori.net                                               ;www.melchiori.net                                                                                               ;hotel                   ;full-board            ;1025010222   ;    1042 ;             24 ;            50 ;              50.0  ;room-with-bathroom     ; 2.0 ; 110.0  ;         32.0  ;Terrace or solarium garden
ANDALO                            ;TRENTO   ;3-stars          ;2000                                                                         ;VIA LAGHET, 4                                         ;                                  ;      38010 ;0461-585711               ;0461-589221               ;residence.2000@tin.it                                              ;www.residence2000.org                                                                                           ;tourist hotel residence ;room-only             ;202940227    ;    1042 ;             11 ;            27 ;              20.0  ;apartment              ; 2.0 ; 160.0  ;               ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ABETE BIANCO HOTEL                                                           ;VIA PAGANELLA, 21/A                                   ;ANDALO                            ;      38010 ;0461-589127               ;0461-585003               ;info@hotelabetebianco.it                                           ;www.hotelabetebianco.it                                                                                         ;hotel                   ;full-board            ;1895740221   ;    1042 ;             36 ;            86 ;              93.0  ;two-room-with-bathroom ;     ;        ;         50.0  ;Elevator to all floors
ANDALO                            ;TRENTO   ;3-stars          ;ACTIVE & FAMILY CLUB HOTEL NEGRITELLA                                        ;VIA PAGANELLA, 32                                     ;                                  ;      38010 ;0461-585802               ;0461-585911               ;info@negritella.it                                                 ;www.negritella.it                                                                                               ;hotel                   ;full-board            ;1386310229   ;    1042 ;             77 ;           132 ;              52.0  ;jr-suite               ;     ;        ;         28.0  ;Elevator to all floors
