id,osmId,name,addrCity,addrPostcode,addrStreet,addrHousenumber,phone,coordinates
resturant0,node/247887464,Dal Boccia,,38121-38123,Via degli Alberti Poja,13,+39 0461 437903,"[11.1404686, 46.0718261]"
resturant1,node/268430904,Dalla Sora Giovanna,Trento,38122,Via Roggia Grande,8,+39 0461 095967,"[11.1243864, 46.0674055]"
resturant2,node/268432521,Trattoria Al Tino,Trento,38122,Via Santissima Trinitá,10,,"[11.1229923, 46.066267]"
resturant3,node/268435080,Trattoria Al Mercato,Trento,38122,Piazza Giovanni Battista Garzetti,15,,"[11.1238802, 46.0659754]"
resturant4,node/268435081,Borgo Nuovo Trento,Trento,38122,Prima Androna di Borgo Nuovo,20,+39 0461 261375,"[11.1236344, 46.0658302]"
resturant5,node/269145543,Alla Grotta,Arco,38062,Via Monte Brione,5,,"[10.8702292, 45.8949163]"
resturant6,node/269193730,Birreria Pizzeria Pedavena,Trento,38122,Piazza di Fiera,13,+39 0461 986255,"[11.123413, 46.0647702]"
resturant7,node/269193732,Trattoria al Volt,Trento,38122,Via Santa Croce,16,+39 0461 983776,"[11.1232307, 46.0644782]"
resturant8,node/269512908,Pizzeria Primavera,Trento,38122,Via del Suffragio,92,+39 0461 239840,"[11.1246538, 46.0707264]"
resturant9,node/276665082,Piffinger Köpfl,Hafling - Avelengo,39010,Piffingerweg / Via Pivigna,16,,"[11.2554305, 46.6769136]"
resturant10,node/288938675,Pizzeria OroStube,Trento,38123,Via Sommarive,10,,"[11.1504525, 46.0647594]"
resturant11,node/289225782,Pizzeria Salesà,Povo,38123,Piazza Giannatonio Manci,14,,"[11.1548195, 46.0661234]"
resturant12,node/289891673,Ploner,Aldein,39040,Dachselweg - Via Dachsel,1,,"[11.353276, 46.3652561]"
resturant13,node/290831118,Pirchhof,Naturns - Naturno,39025,Sonnenberg-Monte Sole,77a,,"[11.0066482, 46.6706]"
resturant14,node/292021580,Pizzeria Quattro Stagioni,Trento,38121,Via San Vito,36,+39 0461 987031,"[11.1378543, 46.0753126]"
resturant15,node/293599658,Jenesier Jöchl,Jenesien - San Genesio Atesino,39050,Kampideller Weg,22,,"[11.3080033, 46.6171415]"
resturant16,node/298086066,Ristorante Ai Canopi,Martignano,38121,Via ai Bolleri,12/6,+39 461 1715283,"[11.1305891, 46.0939699]"
resturant17,node/298531963,Matscher Alm - Malga die Mazia,Matsch,39024,Matschertal,,+39 0473 47 6 214,"[10.6903841, 46.7397431]"
resturant18,node/355968440,Capriccio,San Michele all'Adige,38098,Via Don A. Tamanini,47,+39 0461 650699,"[11.1287253, 46.1891991]"
resturant19,node/362792011,Nassreidhof,Schnals-Senales,,Pfossental,9,+39 0473 679233,"[10.9299696, 46.7245759]"
resturant20,node/365499674,NoFormat,Trento,38121,Via dei Solteri,39/9,+39 0461 829523,"[11.1211946, 46.0882875]"
resturant21,node/404344018,Skihaus Schöneben,Reschen,39027,Hauptstraße,21,,"[10.4893448, 46.8044286]"
resturant22,node/417675381,Angi,Pergine Valsugana,38057,Via dell'Angi,61,,"[11.2333835, 46.0471016]"
resturant23,node/417856704,Pizzeria Botti,Rovereto,38068,Corso Verona,76,,"[11.0335673, 45.8751426]"
resturant24,node/420772564,Gasthof Seppi,Mühlbach - Rio di Pusteria,39037,Richtergasse,1,,"[11.6665785, 46.7962263]"
resturant25,node/428639276,Niky's,Trento,38123,Via Enrico Fermi,7,+39 0461 390828,"[11.1261306, 46.0475076]"
resturant26,node/428644278,Loto 1997,Trento,38122,Via Gocciadoro,62,,"[11.1314758, 46.0559897]"
resturant27,node/430531035,Blue Sax,Trento,38123,Viale Verona,73,+39 0461 910076,"[11.1287617, 46.0563197]"
resturant28,node/430673959,Sapori d'Asia,Trento,38122,Via della Prepositura,15,,"[11.118671, 46.0690767]"
resturant29,node/431475183,La Terrazza,Trento,38123,Piazzale Europa,16,,"[11.1329032, 46.0406051]"
resturant30,node/431648975,Sapori Mediterranei,Trento,38123,Via Roberto da Sanseverino,39/4,+39 0461 984360,"[11.1141049, 46.064995]"
resturant31,node/431658690,Pizzeria da Albert,Trento,38122,Via Giuseppe Verdi,15b,+39 0461 231712,"[11.1171685, 46.0665687]"
resturant32,node/431658693,Burger Fucktory,Trento,38122,Via Bernardino Bomporto,2,,"[11.1174849, 46.0651062]"
resturant33,node/431658709,Pizzeria Tetley's,Trento,38122,Via degli Orti,1,+39 0461 233477,"[11.121244, 46.0657418]"
resturant34,node/431658713,Orso Grigio,Trento,38122,Via degli Orti,19,+39 0461 984400,"[11.1222669, 46.0655854]"
resturant35,node/438166682,Oishy,Trento,38122,Via Antonio Rosmini,18,,"[11.1186296, 46.0679096]"
resturant36,node/439723633,Pizzeria Tre novembre,Altopiano della Vigolana,38049,Via Don Carlo Rossi,13,,"[11.2326193, 45.9693135]"
resturant37,node/439750542,Da La Vedla,San Cassiano,39036,Strada Micurá de Rü,24,,"[11.9318062, 46.5711071]"
resturant38,node/439912351,Assaje,Trento,38122,Largo Giosuè Carducci,25,,"[11.1246215, 46.0684346]"
resturant39,node/440503597,Happy Ranch,Cembra,38034,Località Lago Santo,,+39 0461 683518,"[11.2032566, 46.1976615]"
resturant40,node/446285924,Großberghütte,Mühlbach - Rio di Pusteria,39037,Grossbergstr.,11,,"[11.6505952, 46.8411625]"
resturant41,node/457551203,Pizzeria Bavaria,Riva del Garda,38066,Viale Rovereto,100,,"[10.8556849, 45.8803073]"
resturant42,node/459656419,Taverna La Botte,Molveno,38018,Via Cima Tosa,4,+39 0461 586948,"[10.9660326, 46.1431234]"
resturant43,node/462251316,Sterzingerhof,Sterzing - Vipiteno,39049,Geizkoflerstraße - Via Geizkofler,15,,"[11.4335507, 46.8982721]"
resturant44,node/463189395,Ai Vicoli,Trento,38122,Piazza Santa Teresa Verzeri,1,+39 0461 260673,"[11.1202669, 46.0675785]"
resturant45,node/470256244,Steinegger,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Matschatscher Weg - Strada Masaccio,9,+39 0471 662248,"[11.2399826, 46.4552667]"
resturant46,node/471617940,Rotbachalm,Ahrntal - Valle Aurina,39030,Brunnberg,22,,"[11.9135392, 46.9724096]"
resturant47,node/471618005,Stallila,Ahrntal - Valle Aurina,39030,Rohrberg,37,,"[11.9149207, 46.9771096]"
resturant48,node/478771265,Pretzhof,Pfitsch - Val di Vizze,39049,Tulfer,259,,"[11.507884, 46.9036797]"
resturant49,node/489869145,Casa Beust,Torbole sul Garda,38069,Via Benaco,15,,"[10.8755678, 45.8687443]"
resturant50,node/497065140,Al Sole,Caldonazzo,38052,Località Brenta,2,,"[11.2726206, 46.0056784]"
resturant51,node/497092919,Ristorante Valcanover,Pergine Valsugana,38057,Via di Mezzo Lago,3,+39 0461 548 037,"[11.2296822, 46.0270136]"
resturant52,node/497092958,Giropizza VIP,Pergine Valsugana,,Località Valcanover,13,+39 0461 512282,"[11.2297645, 46.0319673]"
resturant53,node/498751319,Baita Van Spitz,Frassilongo,38050,Poun Van Spitz,1,+39 342 123 4051,"[11.316434, 46.0839607]"
resturant54,node/499994779,Bar Haidi Pizzeria Bistro,Bolzano - Bozen,39100,Via Renon - Rittner Straße,33,,"[11.3625622, 46.4991165]"
