id,osmId,name,elevation,coordinates
view0,node/26863952,Roen,2116,"[11.192267, 46.3604269]"
view1,node/61100874,Völseggspitze,,"[11.5245085, 46.4844223]"
view2,node/253773423,Belvedere,,"[11.7990137, 46.2887716]"
view3,node/279714434,Drei Zinnen Blick,,"[12.2329199, 46.639826]"
view4,node/279836254,Piza de Gherdenacia,2673,"[11.8482211, 46.5945886]"
view5,node/287973902,Croce,,"[10.960103, 46.380859]"
view6,node/289247845,Dosso di Miola,1075,"[11.2507084, 46.1304976]"
view7,node/289257042,Partschinser Wasserfall - Cascata di Parcines,,"[11.0494507, 46.6936174]"
view8,node/289827472,Doss del Stock,895,"[11.138012, 45.9045876]"
view9,node/289877809,Rotwand - Rocce Rosse,,"[11.3308574, 46.3757799]"
view10,node/290780687,Orenknott,2258,"[11.0242082, 46.6819857]"
view11,node/292512762,Campill - Campiglio,2190,"[11.8252006, 46.752977]"
view12,node/301339487,Regina Mundi,,"[10.8305227, 45.8566196]"
view13,node/307253108,Pizzo Gallino,2442,"[10.9624745, 46.1776827]"
view14,node/307297671,Le Ciaval,2907,"[11.951485, 46.6144819]"
view15,node/307302677,Piza dales Nü,2968,"[11.9810725, 46.6303454]"
view16,node/313211043,Alpreider Bichl,,"[11.1027333, 46.600452]"
view17,node/313719257,Petz - Monte Pez,2568,"[11.5748922, 46.5118256]"
view18,node/319273987,Erdpyramiden im Finsterbachgraben - Piramidi di terra nella gola del rio Fosco,,"[11.469319, 46.5522246]"
view19,node/322717853,Belvedere Campo Carlo Magno,,"[10.8404578, 46.2432086]"
view20,node/323254049,Panorama di Piuccilla,,"[10.7362497, 46.2186721]"
view21,node/323274613,Piazzale Panoramico,,"[10.8222138, 46.2107785]"
view22,node/324599686,Guardadocio,,"[10.9724825, 45.856985]"
view23,node/355691057,Gamperknot,,"[11.3441576, 46.4242427]"
view24,node/381128598,Aussichtspunkt Altenburg - Belvedere di Castelvecchio,,"[11.2401955, 46.3779118]"
view25,node/391038683,Cima Celva,998,"[11.1840592, 46.073892]"
view26,node/392394120,Knottnkino,,"[11.2143559, 46.6200792]"
view27,node/395225066,Vista Val Concei,,"[10.7320231, 45.9038934]"
view28,node/401889203,Wallburg,,"[10.9796453, 46.6504385]"
view29,node/410692180,Osservatorio,,"[10.8918392, 45.8121369]"
view30,node/412784151,,953,"[11.1521964, 46.1786584]"
view31,node/414736896,Engelrast,,"[11.6189868, 46.5520049]"
view32,node/416944419,Belvedere degli innamorati,,"[10.8391458, 45.8775955]"
view33,node/417264188,Merltennen,,"[11.3841869, 46.5253358]"
view34,node/419846011,Dolomitenblick,,"[10.8765898, 46.6436817]"
view35,node/424403361,Runder Tisch - Tavola Rotonda,,"[11.4552299, 46.5935446]"
view36,node/439548700,Plosescharte - Forcella Plose,2220,"[11.7328195, 46.7118905]"
view37,node/439646569,"Belvedere - ""Croz de l'Anza Rossa""",,"[11.244456, 45.9926226]"
