id,name_id,country,crag,sector,name,height_difficulty_score,grade_mean,route_category,rating_tot,coordinates
climbing_route0,33802,ita,arco,arco,classica,recommend_high,57.13333333333333,famous_route,-0.1231943317696733,"[45.9181327, 10.8860953]"
climbing_route1,33803,ita,arco,babilonia,atleti del tubo,,53.25,hard_route,-0.1296572719830209,"[45.8634544, 10.8267378]"
climbing_route2,33804,ita,arco,babilonia,iena,,42.5,hard_route,-0.16490179498667,"[45.8634544, 10.8267378]"
climbing_route3,33805,ita,arco,babilonia,lap dance,recommend_low,44.25,hard_route,0.3201247354171039,"[45.8634544, 10.8267378]"
climbing_route4,33806,ita,arco,babilonia,legge fini,,54.0,famous_route,-0.16490179498667,"[45.8634544, 10.8267378]"
climbing_route5,33807,ita,arco,babilonia,mattanza,,44.0,famous_route,-0.0452114488928387,"[45.8634544, 10.8267378]"
climbing_route6,33808,ita,arco,babilonia,mister no,,49.0,famous_route,-0.0734745342424936,"[45.8634544, 10.8267378]"
climbing_route7,33809,ita,arco,babilonia,narnia,,55.4,famous_route,-0.0932629582829319,"[45.8634544, 10.8267378]"
climbing_route8,33810,ita,arco,babilonia,prince of slovenia,,55.0,famous_route,-0.157609695456004,"[45.8634544, 10.8267378]"
climbing_route9,33811,ita,arco,babilonia,pulp fiction,,51.5,hard_route,0.3720325057008651,"[45.8634544, 10.8267378]"
climbing_route10,33812,ita,arco,babilonia,traffic,,53.0,famous_route,-0.1649382596501523,"[45.8634544, 10.8267378]"
climbing_route11,33813,ita,arco,bassilandia,adalpina,recommend_high,44.19230769230769,famous_route,0.0122366077430184,"[46.0556853, 10.9599155]"
climbing_route12,33814,ita,arco,bassilandia,andalopiteco,,66.0,famous_route,-0.0929792442829147,"[46.0556853, 10.9599155]"
climbing_route13,33815,ita,arco,bassilandia,bella monella,,33.0,preferred_by_women,0.0744788972009925,"[46.0556853, 10.9599155]"
climbing_route14,33816,ita,arco,bassilandia,bellavista,,42.333333333333336,famous_route,0.3215985328446856,"[46.0556853, 10.9599155]"
climbing_route15,33817,ita,arco,bassilandia,birillo morbido,,47.5,famous_route,-0.0906590497483486,"[46.0556853, 10.9599155]"
climbing_route16,33818,ita,arco,bassilandia,bod pa,recommend_high,57.09090909090909,famous_route,-0.0194760298935723,"[46.0556853, 10.9599155]"
climbing_route17,33819,ita,arco,bassilandia,bollicine,,60.0,famous_route,-0.1547655171337229,"[46.0556853, 10.9599155]"
climbing_route18,33820,ita,arco,bassilandia,bonsai,,51.4,preferred_by_women,0.0744788972009925,"[46.0556853, 10.9599155]"
climbing_route19,33821,ita,arco,bassilandia,brillantina,recommend_low,49.2,hard_route,0.2829646023832647,"[46.0556853, 10.9599155]"
climbing_route20,33822,ita,arco,bassilandia,cerutti gino,recommend_high,63.8,famous_route,-0.1649261047623248,"[46.0556853, 10.9599155]"
climbing_route21,33823,ita,arco,bassilandia,companero,recommend_low,67.66666666666667,hard_route,0.4851790048360109,"[46.0556853, 10.9599155]"
