id,type,Municipality,Star Rating,Facility Name,addrStreet,addrHousenumber,Postal Code,Phone,Email Address,Website,Service Type,Altitude,Number of Beds,Price,Services,coordinates
hotel0,hotel,ALA,1-star,CENTRALE,FRAZIONE RONCHI,,38061,0464-671033,,,full-board,700,23,30.0,Terrace or garden solarium,"[45.7579008, 11.0018179]"
hotel1,hotel,ALA,1-star,MONTI LESSINI,LOCALITA'SEGA,7,38061,0464-671253,info@albergomontilessini.it,www.albergomontilessini.com,full-board,1246,11,,Terrace or garden solarium,"[45.7579008, 11.0018179]"
hotel2,hotel,ALA,2-stars,ALBERGO ALPINO,LOC. SEGA,,38061,0464-670143,info@albergoalpinosega.it,www.albergoalpinosega.it,full-board,180,35,40.0,Terrace or garden solarium,"[45.7579008, 11.0018179]"
hotel3,hotel,ALA,2-stars,LA PINETA,CORSO VERONA,26,38061,0464-671460,lapineta.ala@live.it,www.lapineta-ala.i,full-board,180,20,38.0,Parking (insured for at least 50% of the housing units),"[45.7579008, 11.0018179]"
hotel4,hotel,ALA,3-stars,HOTEL VIENNESE,CORSO PASSO BUOLE,4,38061,0464-672530,info@hotelviennese.com,www.hotelviennese.com,full-board,180,57,50.0,Elevator to all floors,"[45.7579008, 11.0018179]"
hotel5,hotel,ANDALO,2-stars,MERIDIANA,VIALE TRENTO,2,38010,0461-585780,info@residencemeridiana.it,www.residencemeridiana.it,room-only,1042,51,180.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel6,hotel,ANDALO,2-stars,PAVONE,VIA FOVO,9,38010,0461-585696,pavone@melchiori.net,www.melchiori.net,full-board,1042,50,110.0,Terrace or garden solarium,"[46.1661363, 11.003402]"
hotel7,hotel,ANDALO,3-stars,2000,VIA LAGHET,4,38010,0461-585711,residence.2000@tin.it,www.residence2000.org,room-only,1042,27,160.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel8,hotel,ANDALO,3-stars,ABETE BIANCO HOTEL,VIA PAGANELLA,21/A,38010,0461-589127,info@hotelabetebianco.it,www.hotelabetebianco.it,full-board,1042,86,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel9,hotel,ANDALO,3-stars,ACTIVE & FAMILY CLUB HOTEL NEGRITELLA,VIA PAGANELLA,32,38010,0461-585802,info@negritella.it,www.negritella.it,full-board,1042,132,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel10,hotel,ANDALO,3-stars,ALASKA,VIA CLAMER,17,38010,0461-585631,info@hotelalaska-andalo.it,www.hotelalaska-andalo.it,full-board,1042,81,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel11,hotel,ANDALO,3-stars,ALBA NOVA,VIA LE VAL,2/A,38010,0461-585009,info@albanova.info,www.albanova.info,room-only,1042,50,255.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel12,hotel,ANDALO,3-stars,ALLO ZODIACO,VIA CROSARE,20,38010,0461-585667,info@allozodiaco.com,www.allozodiaco.com,full-board,1042,34,95.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel13,hotel,ANDALO,3-stars,ANDALO,VIA PAGANELLA,7,38010,0461-585849,hotelandalo@13maggio.com,www.hotel-andalo.info,full-board,1042,116,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel14,hotel,ANDALO,3-stars,BASS HOTEL,VIA LE VAL,2,38010,0461-585560,info@basshotelandalo.com,www.basshotelandalo.com,full-board,1042,40,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel15,hotel,ANDALO,3-stars,BOTTAMEDI,VIA DON FAUSTINO TENAGLIA,12,38010,0461-585831,info@hotelbottamedi.it,www.hotelbottamedi.it,full-board,1042,69,,Terrace or garden solarium,"[46.1661363, 11.003402]"
hotel16,hotel,ANDALO,3-stars,CANADA,VIA DEL MORO,5,38010,0461-585636,info@hotelcanada.it,www.hotelcanada.it,full-board,1042,67,90.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel17,hotel,ANDALO,3-stars,CIMA TOSA,VIA SAN ROCCO,8,38010,0461-589020,info@cimatosa.it,www.cimatosa.it,room-only,1042,29,233.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel18,hotel,ANDALO,3-stars,CLUB HOTEL COSTA VERDE AI RONI,VIA RONI,4,38010,0461-585798,info@hotelcostaverde.it,www.htlcostaverde.it,full-board,1042,94,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel19,hotel,ANDALO,3-stars,DALBON,VIA DOSSI,,38010,0461-585839,info@hoteldalbon.com,www.hoteldalbon.com,full-board,1042,71,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel20,hotel,ANDALO,3-stars,DE LA VILLE,VIA PRIORI,4,38010,0461-585550,info@delavilleandalo.it,www.delavilleandalo.it,full-board,1042,50,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel21,hotel,ANDALO,3-stars,DIANA,VIA PONTE LAMBIN,16,38010,0461-585733,info@hoteldianaandalo.com,www.hoteldianaandalo.com,full-board,1042,77,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel22,hotel,ANDALO,3-stars,DOLOMITI HOTEL OLIMPIA,VIA PAGANELLA,17,38010,0461-585715,info@dolomitihotelolimpia.it,www.dolomitihotelolimpia.it,full-board,1042,78,140.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel23,hotel,ANDALO,3-stars,FIORDALISO,VIA PRIORI,10,38010,0461-589027,hotelfiordaliso@tin.it,www.hotelfiordaliso.com,bed-and-breakfast,1042,30,156.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel24,hotel,ANDALO,3-stars,FRANCO,VIA PAGANELLA,9,38010,0461-585633,info@hotelfranco.com,www.hotelfranco.com,full-board,1042,48,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel25,hotel,ANDALO,3-stars,GARDEN,VIALE TRENTO,19,38010,0461-585870,info@gardenandalo.com,www.gardenandalo.com,full-board,1042,54,200.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel26,hotel,ANDALO,3-stars,GHEZZI,VIALE TRENTO,12,38010,0461-585803,info@ghezzihotel.com,www.ghezzihotel.com,full-board,1042,69,80.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel27,hotel,ANDALO,3-stars,GRUPPO BRENTA,VIA STRIGOLE,1,38010,0461-585813,info@gruppobrenta.it,www.gruppobrenta.it,full-board,1042,93,,Gym,"[46.1661363, 11.003402]"
hotel28,hotel,ANDALO,3-stars,HOTEL AL PLAN,VIALE TRENTO,5,38010,0461-585962,info@hotelalplan.com,www.hotelalplan.com,full-board,1042,99,116.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel29,hotel,ANDALO,3-stars,HOTEL ANGELO,VIA PAGANELLA,27,38010,0461-585659,info@hotelangeloandalo.it,www.hotelangeloandalo.it,full-board,1042,60,120.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel30,hotel,ANDALO,3-stars,HOTEL CONTINENTAL,VIA LAGHET,2,38010,0461-585689,info@htlcontinental.it,www.htlcontinental.it,full-board,1042,84,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel31,hotel,ANDALO,3-stars,HOTEL PIAN CASTELLO,VIA STRIGOLE,6,38010,0461-585609,info@hotelpiancastello.com,www.hotelpiancastello.com,full-board,1042,79,,Terrace or garden solarium,"[46.1661363, 11.003402]"
hotel32,hotel,ANDALO,3-stars,HOTEL REGENT'S,VIA PAGANELLA,37,38010,0461-585922,info@hotelregents.com,www.hotelregents.com,full-board,1042,68,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel33,hotel,ANDALO,3-stars,K 2,VIA RINDOLE,2,38010,0461-585880,info@k2andalo.it,www.k2andalo.it,full-board,1042,51,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel34,hotel,ANDALO,3-stars,LA BAITA,VIA MONEGO,1,38010,339-7370 227,info@hotelbaita.it,www.hotelbaita.it,full-board,1042,93,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel35,hotel,ANDALO,3-stars,LA BUSSOLA,VIALE TRENTO,11,38010,0461-585888,info@hotellabussola.com,www.hotellabussola.com,full-board,1042,78,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel36,hotel,ANDALO,3-stars,MELCHIORI,VIA FOVO,3,38010,0461-585829,hotel@melchiori.net,www.melchiori.net,full-board,1042,107,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel37,hotel,ANDALO,3-stars,NEGRESCO,VIA PRIORI,12,38010,0461-585555,info@hotelnegrescoandalo.it,www.hotelnegrescoandalo.it,full-board,1042,48,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel38,hotel,ANDALO,3-stars,PIER,VIA LE VAL,4,38010,0461-585784,info@pierhotel.net,www.pierhotel.net,full-board,1042,62,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel39,hotel,ANDALO,3-stars,RESIDENCE ANTARES,VIA STRIGOLE,8,38010,0461-585399,info@antaresandalo.it,www.antaresandalo.it,bed-and-breakfast,1042,49,190.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel40,hotel,ANDALO,3-stars,RESIDENCE DIAMANT,VIA PAGANELLA,16,38010,0461-585481,info@residencediamant.it,www.residencediamant.it,room-only,1042,61,140.0,TV in all bedrooms,"[46.1661363, 11.003402]"
hotel41,hotel,ANDALO,3-stars,RESIDENCE HOTEL LAMBIN,VIA CROSARE,11/A,38010,0461-589173,info@residencelambin.it,www.residencelambin.it,room-only,1042,38,150.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel42,hotel,ANDALO,3-stars,ROSA ALPINA,VIA CROSARE,11,38010,0461-585874,info@hotelrosaalpina.com,www.hotelrosaalpina.com,full-board,1042,73,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel43,hotel,ANDALO,3-stars,SPLENDID,VIA PAGANELLA,18,38010,0461-585777,info@splendidhotelandalo.it,www.splendidhotelandalo.it,full-board,1042,131,,Terrace or garden solarium,"[46.1661363, 11.003402]"
hotel44,hotel,ANDALO,3-stars,STELLA ALPINA,VIA PRIORI,2,38010,0461-585835,info@hotelstellaalpina.net,www.hotelstellaalpina.net,full-board,1042,112,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel45,hotel,ANDALO,3-stars-superior,ALPENANDALO CLUB HOTEL,VIA SAN ROCCO,15,38010,0461-585780,info@hotelalpen.it,www.hotelalpen.it,full-board,1042,219,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel46,hotel,ANDALO,3-stars-superior,ALPHOTEL MILANO,VIA DOSSI,8,38010,0461-585731,info@alphotelmilano.it,www.alphotelmilano.it,full-board,1042,60,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel47,hotel,ANDALO,3-stars-superior,ALPINO FAMILY HOTEL,VIA PRIORI,17,38010,0461-585946,alpino@alpinofamily.it,www.alpinofamily.it,full-board,1042,68,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel48,hotel,ANDALO,3-stars-superior,ASTORIA COMFORT HOTEL,VIA CROSARE,7,38010,0461-585846,info@astoria-andalo.com,www.astoria-andalo.com,full-board,1042,122,0.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel49,hotel,ANDALO,3-stars-superior,HOTEL CRISTALLO,VIA RINDOLE,1,38010,0461-585744,info@hotelcristalloandalo.com,www.hotelcristalloandalo.com,full-board,1042,81,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel50,hotel,ANDALO,3-stars-superior,HOTEL EDEN FAMILY & WELLNESS RESORT,VIA PAGANELLA,25/A,38010,0461585282,info@hoteledenandalo.it,www.hoteledenandalo.it,full-board,1042,100,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel51,hotel,ANDALO,3-stars-superior,HOTEL NORDIK NATURA E TRADIZIONE,VIA PAGANELLA,11,38010,0461-585879,info@hotelnordik.com,www.hotelnordik.com,full-board,1042,50,80.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel52,hotel,ANDALO,3-stars-superior,HOTEL PAGANELLA,VIA PAGANELLA,1,38010,0461-585844,info@hotelpaganella.com,www.hotelpaganella.com,full-board,1042,112,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel53,hotel,ANDALO,3-stars-superior,HOTEL SELECT,VIA DOSSI,7,38010,0461-585884,info@hselect.it,www.hselect.it,full-board,1042,122,203.0,Elevator to all floors,"[46.1661363, 11.003402]"
hotel54,hotel,ANDALO,3-stars-superior,MAJORKA,VIALE TRENTO,10,38010,0461-585871,info@hotelmajorka@com,www.hotelmajorka.com,full-board,1042,95,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel55,hotel,ANDALO,4-stars,ADLER,PIAZZA CENTRALE,2,38010,0461-585828,info@adlerhotel.it,www.adlerhotel.it,full-board,1042,119,,Elevator to all floors,"[46.1661363, 11.003402]"
hotel56,hotel,ANDALO,4-stars,AMBIEZ SUITE HOTEL,VIA PRIORI,8,38010,0461-585556,info@hotelambiez.com,www.hotelambiez.com,full-board,1042,69,225.0,Elevator to all floors,"[46.1661363, 11.003402]"
